Geneid	Chr	Start	End	Strand	Length	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R30
ycfH	U00096.3	1156777	1157574	+	798	117	120	97	117	67	227	165	171	173	216	66	64	90	59	81
ptsG	U00096.3	1157869	1159302	+	1434	218	369	292	311	241	414	295	247	246	400	109	82	129	87	75
fhuE	U00096.3	1159362	1161551	-	2190	114	90	76	59	67	74	61	53	48	47	16	40	44	46	24
hinT	U00096.3	1161885	1162244	+	360	88	131	107	147	79	138	102	176	140	234	107	63	112	66	66
ycfL	U00096.3	1162247	1162624	+	378	152	223	160	182	127	225	128	186	181	245	138	100	124	84	90
lpoB	U00096.3	1162638	1163279	+	642	119	228	184	207	139	280	170	291	244	348	150	120	152	102	125
thiK	U00096.3	1163260	1164084	+	825	181	306	220	235	158	282	175	236	250	203	94	116	143	108	130
nagZ	U00096.3	1164095	1165120	+	1026	385	530	388	416	285	554	441	494	525	536	202	228	296	197	218
ycfP	U00096.3	1165143	1165685	+	543	317	457	445	357	217	568	526	562	556	738	185	191	251	188	195
ndh	U00096.3	1166085	1167389	+	1305	148	222	173	163	198	1075	363	129	398	140	53	99	406	88	78
ycfJ	U00096.3	1167599	1168138	+	540	317	384	283	264	125	171	93	102	158	112	36	73	144	50	117
comR	U00096.3	1168200	1168832	-	633	76	101	81	63	41	124	122	125	125	154	28	33	58	36	43
bhsA	U00096.3	1169073	1169330	+	258	29	98	57	62	63	255	254	140	250	286	19	36	65	29	36
ldtC	U00096.3	1169412	1170374	-	963	251	469	343	304	212	797	504	761	660	1346	270	602	451	360	298
mfd	U00096.3	1170518	1173964	-	3447	254	433	289	287	231	926	541	789	749	779	118	152	172	126	176
ycfT	U00096.3	1174092	1175165	-	1074	51	23	24	16	22	16	12	15	16	18	3	11	12	15	2
lolC	U00096.3	1175427	1176626	+	1200	88	122	103	73	47	153	121	117	135	140	53	64	96	58	55
lolD	U00096.3	1176619	1177320	+	702	56	52	44	48	38	89	70	53	63	88	34	39	39	23	21
lolE	U00096.3	1177320	1178564	+	1245	238	356	232	259	159	335	201	250	223	301	143	142	171	124	129
nagK	U00096.3	1178593	1179504	+	912	111	195	141	174	103	240	168	224	200	217	105	96	134	96	94
cobB	U00096.3	1179520	1180359	+	840	211	284	173	229	154	275	184	197	194	209	107	98	136	91	75
ycfZ	U00096.3	1180479	1181267	-	789	31	26	30	17	15	11	13	4	11	9	6	4	7	4	3
ymfA	U00096.3	1181264	1181725	-	462	32	32	15	24	8	21	14	9	8	11	5	5	13	6	2
potD	U00096.3	1181783	1182829	-	1047	199	301	235	276	163	535	400	420	465	480	188	146	188	119	147
potC	U00096.3	1182826	1183620	-	795	212	349	159	219	174	243	203	175	180	155	94	94	87	51	69
potB	U00096.3	1183617	1184444	-	828	50	56	43	30	39	123	70	87	84	94	55	31	55	28	20
potA	U00096.3	1184458	1185594	-	1137	102	115	109	122	96	229	233	178	174	182	144	82	115	64	52
pepT	U00096.3	1185844	1187070	+	1227	231	370	269	300	214	474	485	491	538	666	132	98	131	107	188
roxA	U00096.3	1187119	1188240	-	1122	481	746	547	657	373	987	663	679	780	890	317	297	461	244	315
phoQ	U00096.3	1188316	1189776	-	1461	223	408	271	307	192	418	267	371	372	381	177	191	219	128	149
phoP	U00096.3	1189776	1190447	-	672	249	365	254	265	131	267	140	300	260	289	184	152	197	131	127
purB	U00096.3	1190616	1191986	-	1371	152	247	172	203	164	637	495	463	493	319	189	177	295	137	171
hflD	U00096.3	1191990	1192631	-	642	139	270	165	239	125	579	378	370	327	254	130	130	208	97	124
mnmA	U00096.3	1192667	1193773	-	1107	347	538	423	428	279	870	654	611	622	440	205	229	393	165	180
nudJ	U00096.3	1193827	1194288	-	462	65	88	59	50	46	126	93	55	77	60	29	34	61	23	33
rluE	U00096.3	1194298	1194951	-	654	64	93	85	52	45	101	84	48	78	44	23	36	56	29	29
icd	U00096.3	1195123	1196373	+	1251	3033	6251	3981	5398	3106	7334	3908	7590	6049	7370	5214	4724	7454	3729	3655
ymfD	U00096.3	1196867	1197532	-	666	66	65	73	43	27	27	15	17	14	17	11	17	14	22	8
ymfE	U00096.3	1197533	1198237	-	705	98	137	104	82	56	20	19	25	14	9	17	19	16	22	11
lit	U00096.3	1198695	1199588	+	894	77	70	59	44	29	36	26	26	18	20	20	20	16	14	15
intE	U00096.3	1199679	1200806	-	1128	120	122	96	88	56	38	41	33	26	45	7	9	16	12	16
xisE	U00096.3	1200787	1201032	-	246	13	12	8	10	9	5	10	10	2	12	2	4	2	6	1
ymfH	U00096.3	1201069	1201380	-	312	26	9	2	4	1	7	5	4	5	27	1	2	4	7	1
ymfI	U00096.3	1201497	1201838	+	342	73	117	67	50	42	63	37	70	57	84	35	30	35	30	21
ymfJ	U00096.3	1201776	1202084	-	309	48	83	42	29	27	41	32	48	42	55	32	12	27	17	21
ymfK	U00096.3	1202259	1202933	-	675	67	91	92	87	41	88	94	111	99	122	41	50	48	41	37
ymfT	U00096.3	1203024	1203224	+	201	6	8	11	10	0	6	2	7	4	5	6	5	2	2	3
ymfL	U00096.3	1203268	1203825	+	558	11	8	7	9	8	12	8	9	8	26	5	3	4	2	3
ymfM	U00096.3	1203822	1204160	+	339	15	11	9	16	8	11	2	16	10	14	3	6	1	6	2
ymfN	U00096.3	1204170	1205537	+	1368	53	28	20	26	32	13	5	8	14	16	6	14	5	8	6
ymfR	U00096.3	1205549	1205731	+	183	11	1	1	2	2	1	1	0	2	2	0	2	0	0	1
beeE	U00096.3	1205731	1206204	+	474	27	8	4	8	11	4	3	3	4	2	3	4	4	2	2
ymfQ	U00096.3	1206913	1207497	+	585	18	6	7	9	10	6	3	3	4	1	1	3	1	4	6
ycfK	U00096.3	1207501	1208130	+	630	30	22	10	20	11	8	8	6	3	3	1	4	5	10	2
tfaP	U00096.3	1208132	1208545	+	414	16	10	12	17	11	6	2	5	3	4	3	3	1	6	1
tfaE	U00096.3	1208517	1209119	-	603	18	11	9	10	8	3	2	2	5	3	1	0	1	3	1
pinE	U00096.3	1209685	1210239	+	555	23	7	10	10	6	2	6	3	6	2	2	4	5	6	0
mcrA	U00096.3	1210346	1211179	+	834	121	118	91	85	65	29	21	19	22	28	11	9	10	14	12
iraM	U00096.3	1211680	1212003	-	324	26	11	6	15	6	8	4	4	5	9	0	4	4	1	5
ymgK	U00096.3	1212260	1212304	-	45	2	2	1	1	1	1	1	0	0	0	1	1	0	2	0
ymgL	U00096.3	1212540	1212650	-	111	15	8	11	9	4	3	6	3	1	2	0	1	2	1	0
ycgX	U00096.3	1212703	1213107	-	405	45	31	43	22	12	12	13	10	9	8	7	6	5	6	4
bluR	U00096.3	1213328	1214059	-	732	241	382	250	298	168	350	217	260	224	196	223	181	211	148	120
bluF	U00096.3	1214264	1215475	-	1212	729	1234	738	892	637	591	532	500	468	200	245	411	386	290	238
ycgZ	U00096.3	1215789	1216025	+	237	87	188	116	100	55	68	32	83	67	136	162	51	15	36	7
ymgA	U00096.3	1216068	1216340	+	273	89	214	100	81	55	32	13	60	36	61	80	43	18	14	9
ariR	U00096.3	1216369	1216635	+	267	13	23	18	12	11	23	5	44	14	42	58	16	9	4	6
ymgC	U00096.3	1216748	1216996	+	249	16	16	11	8	3	13	3	15	11	45	32	7	2	4	2
pdeG	U00096.3	1217328	1218851	+	1524	36	29	18	19	19	13	6	7	12	12	6	2	11	11	2
ymgF	U00096.3	1218983	1219201	+	219	5	2	3	1	2	2	2	0	1	0	1	0	1	1	0
ymgD	U00096.3	1222305	1222634	-	330	27	20	9	13	17	19	30	14	16	34	6	7	13	8	5
ymgG	U00096.3	1222644	1222988	-	345	18	26	17	26	24	41	21	26	21	23	6	11	14	14	6
ymgI	U00096.3	1222990	1223163	-	174	44	26	29	17	16	9	5	3	2	6	1	3	0	5	1
ymgJ	U00096.3	1223264	1223449	+	186	8	4	3	4	2	4	2	1	1	2	0	1	0	1	0
minE	U00096.3	1224279	1224545	-	267	313	541	355	527	281	431	272	386	362	350	174	164	151	108	124
minD	U00096.3	1224549	1225361	-	813	655	1047	655	865	523	638	393	554	551	571	314	276	285	194	218
minC	U00096.3	1225385	1226080	-	696	518	912	543	678	401	478	364	457	422	390	170	217	192	149	185
ycgJ	U00096.3	1226600	1226968	+	369	84	131	69	87	59	69	40	52	43	49	24	46	40	26	32
pliG	U00096.3	1227071	1227472	-	402	37	31	34	24	16	27	16	14	23	18	13	8	24	22	14
ycgL	U00096.3	1227681	1228007	+	327	154	210	170	178	128	163	120	156	167	173	85	67	87	78	95
ycgM	U00096.3	1228079	1228738	+	660	168	212	140	193	125	215	142	215	208	216	125	108	142	87	70
ycgN	U00096.3	1228815	1229276	+	462	108	204	132	185	109	219	155	187	170	148	69	70	60	64	60
hlyE	U00096.3	1229483	1230394	-	912	20	17	21	7	11	8	15	7	7	5	3	5	3	4	2
umuD	U00096.3	1230767	1231186	+	420	17	16	21	16	11	17	7	16	15	20	7	7	3	2	3
umuC	U00096.3	1231186	1232454	+	1269	100	124	91	93	82	57	44	50	65	58	28	25	17	22	21
dsbB	U00096.3	1232500	1233030	-	531	53	88	51	69	32	105	83	121	91	184	35	27	66	35	38
nhaB	U00096.3	1233176	1234717	-	1542	87	95	79	81	59	109	68	97	87	123	78	72	107	53	53
fadR	U00096.3	1234938	1235657	+	720	363	566	354	446	244	257	211	250	221	280	121	156	194	132	115
ycgB	U00096.3	1235709	1237241	-	1533	338	737	640	428	235	498	756	602	535	945	111	131	134	177	240
dadA	U00096.3	1237571	1238869	+	1299	918	1839	1173	1878	832	717	340	1199	658	1847	1423	937	1151	815	773
dadX	U00096.3	1238879	1239949	+	1071	935	2037	1201	1751	814	640	354	949	642	1264	1049	764	984	688	664
ymgM	U00096.3	1240260	1240463	+	204	146	165	111	142	62	56	32	39	32	31	18	35	38	28	30
cvrA	U00096.3	1240335	1242071	-	1737	222	279	181	205	110	146	104	128	118	98	71	90	110	81	76
ldcA	U00096.3	1242166	1243080	-	915	88	94	71	81	50	98	94	100	116	93	42	45	52	37	45
emtA	U00096.3	1243180	1243791	+	612	68	50	41	48	28	33	38	31	23	35	23	23	47	24	21
ycgR	U00096.3	1243793	1244527	-	735	73	78	29	43	38	18	13	20	7	13	13	15	19	12	8
ymgE	U00096.3	1244728	1244982	+	255	29	13	13	9	5	12	5	14	8	20	7	11	12	9	10
ycgY	U00096.3	1245160	1245600	+	441	22	15	14	16	10	3	4	5	3	1	8	1	1	8	0
treA	U00096.3	1245679	1247376	-	1698	85	60	50	43	40	27	26	34	24	34	36	33	30	30	32
dhaM	U00096.3	1247696	1249114	-	1419	102	103	58	112	63	191	101	167	149	141	53	40	62	50	26
dhaL	U00096.3	1249125	1249757	-	633	49	65	33	61	41	135	57	103	78	62	36	36	54	43	18
dhaK	U00096.3	1249768	1250838	-	1071	71	101	62	169	88	209	107	148	153	100	57	63	102	92	39
dhaR	U00096.3	1251066	1252985	+	1920	131	136	93	119	85	93	68	90	97	94	36	43	60	33	34
ycgV	U00096.3	1253085	1255952	-	2868	124	91	68	76	45	76	79	72	51	63	25	24	31	29	25
ychF	U00096.3	1256721	1257812	-	1092	248	396	304	345	196	791	481	417	545	519	156	150	234	85	121
pth	U00096.3	1257929	1258513	-	585	44	45	51	41	31	105	56	67	84	80	22	26	26	24	31
ychH	U00096.3	1258791	1259069	+	279	452	778	906	927	584	742	774	876	693	1573	1560	989	1627	1325	1708
dauA	U00096.3	1259124	1260803	-	1680	131	154	129	126	71	124	144	135	129	155	68	44	83	79	64
prs	U00096.3	1260928	1261875	-	948	1352	2330	1752	1948	1447	3166	2237	2808	2494	2567	824	893	1324	675	829
ispE	U00096.3	1262026	1262877	-	852	436	776	557	702	445	1159	936	866	830	633	291	398	590	388	346
lolB	U00096.3	1262877	1263500	-	624	137	203	123	178	108	282	145	183	205	158	66	64	106	70	86
hemA	U00096.3	1263714	1264970	+	1257	482	844	644	718	410	955	787	739	792	867	281	253	274	227	230
prfA	U00096.3	1265012	1266094	+	1083	484	961	653	833	547	993	777	546	731	553	216	223	273	216	180
prmC	U00096.3	1266094	1266927	+	834	209	339	222	271	177	408	302	227	291	283	89	74	102	68	75
ychQ	U00096.3	1266924	1267316	+	393	50	120	65	62	36	169	120	123	108	140	34	14	29	26	43
ychA	U00096.3	1267320	1268129	+	810	454	715	520	544	351	949	749	767	741	826	143	133	162	141	170
kdsA	U00096.3	1268165	1269019	+	855	494	872	571	715	404	1061	800	906	964	1169	204	178	242	162	232
ldrA	U00096.3	1269168	1269275	-	108	18	39	25	46	16	81	40	61	50	117	20	11	34	14	21
rdlA	U00096.3	1269323	1269389	+	67	20	22	19	28	14	45	19	36	38	56	16	10	21	10	13
ldrB	U00096.3	1269703	1269810	-	108	7	7	7	5	8	15	7	8	15	25	5	0	1	3	7
rdlB	U00096.3	1269858	1269923	+	66	9	13	7	12	4	18	9	7	15	28	5	4	4	4	5
ldrC	U00096.3	1270238	1270345	-	108	17	31	18	15	13	46	29	33	37	79	17	7	14	13	7
rdlC	U00096.3	1270393	1270460	+	68	4	6	2	1	3	28	17	19	21	54	9	9	15	10	4
chaA	U00096.3	1270749	1271849	-	1101	144	250	179	144	84	995	594	1033	857	2765	441	457	421	259	261
chaB	U00096.3	1272119	1272349	+	231	15	14	9	11	10	11	7	17	9	19	4	4	3	3	2
chaC	U00096.3	1272507	1273202	+	696	46	54	59	36	29	75	52	90	80	186	61	61	74	56	40
ychN	U00096.3	1273246	1273599	-	354	188	311	245	303	238	242	156	228	184	264	242	218	295	210	205
ychO	U00096.3	1273784	1275178	+	1395	87	92	70	65	49	147	68	88	77	98	41	42	62	43	26
narL	U00096.3	1275179	1275829	-	651	42	45	35	40	22	94	53	90	76	104	41	21	52	20	39
narX	U00096.3	1275822	1277618	-	1797	112	119	77	81	64	183	127	154	164	200	69	61	96	70	66
narK	U00096.3	1277957	1279348	+	1392	37	19	16	10	18	45	40	55	64	83	39	24	34	19	35
narG	U00096.3	1279864	1283607	+	3744	174	233	182	111	123	604	356	564	368	1273	157	70	116	269	925
narH	U00096.3	1283604	1285142	+	1539	85	149	87	86	54	392	204	365	224	772	58	22	37	157	449
narJ	U00096.3	1285139	1285849	+	711	68	55	32	27	26	167	72	169	94	298	36	13	15	64	216
narI	U00096.3	1285849	1286526	+	678	50	49	34	32	19	136	80	116	86	289	26	7	19	46	146
ychS	U00096.3	1286709	1286984	+	276	14	13	13	18	6	18	5	9	16	16	1	4	6	11	1
rttR	U00096.3	1287066	1287236	-	171	37	28	25	28	20	22	15	12	10	22	5	16	19	4	4
tpr	U00096.3	1287087	1287176	-	90	17	7	9	14	9	12	7	2	6	11	0	7	11	3	4
tyrV	U00096.3	1287244	1287328	-	85	42	80	50	57	32	69	36	44	38	58	19	37	37	19	16
tyrT	U00096.3	1287538	1287622	-	85	10	27	10	13	12	25	10	13	19	13	8	4	8	9	12
purU	U00096.3	1287782	1288624	-	843	230	257	230	235	157	374	252	245	279	257	97	92	118	87	97
ychJ	U00096.3	1288674	1289132	-	459	124	188	109	137	86	210	140	172	143	141	74	62	76	49	56
rssA	U00096.3	1289245	1290150	+	906	361	590	453	467	274	477	379	380	346	390	194	228	198	211	199
rssB	U00096.3	1290242	1291255	+	1014	301	400	321	282	196	294	201	234	202	255	77	83	101	74	86
galU	U00096.3	1291457	1292365	+	909	211	362	222	240	159	375	216	269	269	439	175	140	358	135	138
hns	U00096.3	1292509	1292922	-	414	792	1197	872	969	709	1473	930	1330	1090	2137	1297	1148	1623	855	890
tdk	U00096.3	1293527	1294144	+	618	53	55	47	56	31	65	45	50	50	60	33	19	31	27	21
adhE	U00096.3	1295446	1298121	-	2676	4156	9600	7928	6118	3772	11303	14010	12844	11276	19081	1624	1597	1835	2128	3200
ychE	U00096.3	1298598	1299245	+	648	164	195	155	159	77	105	75	108	77	104	63	58	58	53	53
insH21	U00096.3	1299531	1300547	+	1017	900	1724	1043	1420	750	796	651	1036	726	916	335	211	302	312	867
oppA	U00096.3	1301182	1302813	+	1632	28086	43842	31152	29962	18429	20955	14035	18925	13515	13749	10844	15479	20470	16682	12477
oppB	U00096.3	1302899	1303819	+	921	2198	4124	2606	2923	1625	3906	2490	3023	2331	2798	1786	1752	2401	1704	1645
oppC	U00096.3	1303834	1304742	+	909	2847	4784	3847	4046	2268	4912	4084	3941	2933	3654	2238	2021	2654	1890	1971
oppD	U00096.3	1304754	1305767	+	1014	2305	4369	3045	3346	2036	4844	3601	3837	3093	4164	1923	1529	2112	1579	1624
oppF	U00096.3	1305764	1306768	+	1005	2722	4809	3454	3742	2123	6012	4573	5271	4118	6480	2107	1608	2002	1677	2040
yciU	U00096.3	1306821	1307150	-	330	154	236	187	191	100	210	138	176	118	188	70	82	106	94	77
clsA	U00096.3	1307185	1308645	-	1461	163	150	113	86	93	134	97	121	98	116	45	50	74	61	62
yciY	U00096.3	1308788	1308961	+	174	83	74	54	75	28	117	64	94	92	174	51	31	64	38	43
kch	U00096.3	1309016	1310269	-	1254	78	77	92	67	37	56	33	42	39	32	16	19	29	20	39
yciI	U00096.3	1310569	1310865	-	297	58	92	55	57	48	67	41	83	73	119	61	46	74	58	46
tonB	U00096.3	1311089	1311808	+	720	118	154	116	91	70	111	125	106	103	144	56	46	72	53	48
yciA	U00096.3	1311848	1312246	-	399	118	129	106	110	85	141	111	82	118	111	27	51	47	34	45
yciB	U00096.3	1312351	1312890	-	540	84	150	116	128	76	169	124	141	137	193	69	86	63	56	61
yciC	U00096.3	1312920	1313663	-	744	118	180	144	161	77	261	190	188	193	216	92	104	118	86	96
ompW	U00096.3	1314020	1314658	+	639	172	274	196	214	122	542	513	544	603	746	175	173	208	118	168
yciE	U00096.3	1314718	1315224	-	507	40	22	29	18	13	41	35	35	38	40	5	11	7	11	10
yciF	U00096.3	1315270	1315770	-	501	30	23	13	10	8	15	13	16	19	9	3	3	1	5	3
yciG	U00096.3	1315856	1316035	-	180	7	6	1	3	6	6	0	5	11	13	5	4	1	3	4
trpA	U00096.3	1316416	1317222	-	807	348	852	474	630	349	1184	337	1500	1690	1479	432	201	341	385	130
trpB	U00096.3	1317222	1318415	-	1194	1176	3308	1628	2262	1046	3089	980	3502	4482	2326	839	582	764	1181	347
trpC	U00096.3	1318427	1319788	-	1362	859	2098	1056	1523	707	2431	863	2401	3954	1647	546	372	493	707	329
trpD	U00096.3	1319789	1321384	-	1596	430	1271	575	886	403	1945	644	1959	4262	1428	427	232	319	538	271
trpE	U00096.3	1321384	1322946	-	1563	239	864	417	914	258	1099	338	880	2466	1026	418	156	346	584	280
trpL	U00096.3	1323038	1323082	-	45	24	127	39	115	22	76	26	34	110	46	57	21	45	83	52
yciV	U00096.3	1323220	1324101	+	882	302	422	321	349	193	464	373	347	403	333	117	157	196	126	163
yciO	U00096.3	1324098	1324718	+	621	299	457	347	353	241	454	369	359	413	426	153	203	240	136	158
yciQ	U00096.3	1324746	1326641	+	1896	279	309	234	243	167	261	207	198	271	276	101	108	116	91	72
rluB	U00096.3	1326852	1327727	+	876	267	400	276	388	229	760	636	399	383	504	249	179	305	173	159
btuR	U00096.3	1327767	1328357	-	591	163	256	141	193	88	340	202	320	289	276	86	79	116	82	75
yciK	U00096.3	1328354	1329112	-	759	106	145	81	105	59	216	119	240	201	245	78	67	92	72	76
sohB	U00096.3	1329332	1330381	+	1050	243	360	218	309	195	269	203	269	244	350	195	161	200	150	132
yciN	U00096.3	1330417	1330668	-	252	101	151	134	171	84	248	179	292	205	364	217	177	270	139	147
topA	U00096.3	1331048	1333645	+	2598	951	1715	1035	1223	753	2906	1780	2224	2350	2391	911	642	979	467	622
cysB	U00096.3	1333855	1334829	+	975	522	947	725	759	370	427	254	507	386	434	354	368	335	314	216
ymiA	U00096.3	1335124	1335288	+	165	49	48	38	48	17	63	39	41	42	63	11	16	21	15	12
yciX	U00096.3	1335291	1335458	+	168	150	185	183	130	50	111	90	95	88	86	16	32	38	26	22
ymiC	U00096.3	1335572	1335667	+	96	69	61	51	44	16	43	28	27	13	19	15	9	18	14	10
acnA	U00096.3	1335831	1338506	+	2676	1699	2873	1617	1673	1027	1111	845	1335	1117	1385	1061	1060	1584	993	1067
ribA	U00096.3	1338570	1339160	-	591	179	275	228	250	134	220	164	222	195	219	138	147	161	131	129
pgpB	U00096.3	1339330	1340094	+	765	94	147	72	117	63	102	78	108	86	104	62	61	76	49	63
lapA	U00096.3	1340243	1340551	+	309	171	267	174	186	96	209	153	202	176	267	159	111	157	141	143
lapB	U00096.3	1340558	1341727	+	1170	132	197	146	190	120	194	149	207	189	233	127	100	115	75	88
pyrF	U00096.3	1341921	1342658	+	738	126	144	94	116	80	324	222	183	196	190	49	91	178	68	54
yciH	U00096.3	1342658	1342984	+	327	232	292	231	209	190	293	212	158	194	122	34	112	121	68	54
osmB	U00096.3	1343110	1343328	-	219	1588	2769	1459	1952	478	268	176	218	318	144	147	461	2603	460	629
yciT	U00096.3	1343597	1344346	-	750	118	188	146	186	111	149	188	175	170	201	58	63	47	56	61
yciZ	U00096.3	1344436	1344609	-	174	69	119	85	106	56	47	52	58	53	51	21	35	16	30	18
pdeR	U00096.3	1344757	1346742	-	1986	106	87	84	69	43	89	72	62	64	79	34	20	46	32	25
ymiB	U00096.3	1346796	1346900	+	105	16	9	15	20	10	2	6	9	7	5	3	3	2	3	1
rnb	U00096.3	1346978	1348912	-	1935	424	579	447	484	302	644	500	523	492	487	190	198	351	180	149
yciW	U00096.3	1348980	1350107	-	1128	190	268	214	195	122	98	72	104	92	90	37	62	50	67	35
fabI	U00096.3	1350251	1351039	-	789	316	427	391	395	282	723	487	548	612	801	404	370	628	276	319
ycjD	U00096.3	1351407	1351760	-	354	25	39	31	37	30	46	22	37	20	17	15	13	9	8	12
sapF	U00096.3	1351828	1352634	-	807	73	112	72	63	65	89	71	84	54	56	43	32	37	31	30
sapD	U00096.3	1352636	1353628	-	993	111	160	92	124	82	180	112	120	104	96	43	54	74	61	46
sapC	U00096.3	1353628	1354518	-	891	47	61	31	51	29	68	42	50	45	52	20	31	22	20	17
sapB	U00096.3	1354505	1355470	-	966	66	65	36	43	28	54	38	41	55	50	23	25	28	19	23
sapA	U00096.3	1355467	1357110	-	1644	159	203	146	138	112	160	133	148	151	151	69	72	116	83	62
ymjA	U00096.3	1357423	1357668	-	246	39	64	49	34	35	59	28	58	42	41	18	25	40	27	23
puuP	U00096.3	1357802	1359187	-	1386	75	114	60	106	54	77	42	104	94	158	97	41	91	50	36
ymjE	U00096.3	1359177	1359341	-	165	32	72	35	80	26	32	10	45	37	73	39	30	47	26	13
puuA	U00096.3	1359490	1360908	-	1419	298	574	276	510	251	268	124	350	258	397	307	259	303	188	146
puuD	U00096.3	1361120	1361884	+	765	389	808	403	596	325	308	169	351	267	428	245	216	254	183	121
puuR	U00096.3	1361911	1362468	+	558	233	460	251	382	229	193	117	273	206	288	174	131	127	110	83
puuC	U00096.3	1362743	1364230	+	1488	90	158	71	155	90	70	28	77	69	85	71	35	64	50	15
puuB	U00096.3	1364232	1365512	+	1281	81	75	49	49	44	42	18	38	39	68	49	18	29	26	15
puuE	U00096.3	1365550	1366815	+	1266	67	63	41	42	36	35	20	27	34	56	49	22	29	29	14
pspF	U00096.3	1366935	1367912	-	978	68	80	57	47	43	58	35	52	50	49	27	26	35	25	29
pspA	U00096.3	1368079	1368747	+	669	3055	5707	5415	3558	2181	4295	6973	6812	5794	9306	4423	7829	5066	11257	8275
pspB	U00096.3	1368801	1369025	+	225	431	881	741	499	306	575	768	1039	752	1384	576	843	535	1013	920
pspC	U00096.3	1369025	1369384	+	360	493	1000	848	605	365	799	1161	1541	1099	2235	773	1158	736	1393	1206
pspD	U00096.3	1369393	1369614	+	222	1170	2365	1531	1073	873	962	1478	1647	1280	2058	560	1283	604	1636	1019
pspE	U00096.3	1369689	1370003	+	315	453	1179	1035	980	585	855	1188	1473	1061	2392	757	1059	793	1348	930
ycjM	U00096.3	1370216	1371895	+	1680	95	40	32	37	35	26	14	13	7	20	8	9	9	12	4
ycjN	U00096.3	1371909	1373201	+	1293	37	19	17	11	16	18	6	2	9	8	6	11	7	13	3
ycjO	U00096.3	1373222	1374103	+	882	32	6	8	13	12	5	3	4	3	3	0	6	4	5	3
ycjP	U00096.3	1374090	1374932	+	843	34	22	13	13	8	15	10	7	6	7	2	7	5	8	2
ycjQ	U00096.3	1374963	1376015	+	1053	63	43	22	23	30	10	17	15	11	14	13	9	5	14	9
ycjR	U00096.3	1376034	1376822	+	789	29	28	17	28	15	18	12	14	15	14	4	7	2	6	7
ycjS	U00096.3	1376832	1377887	+	1056	62	48	38	39	38	37	18	28	36	30	9	11	8	16	12
ycjT	U00096.3	1377884	1380151	+	2268	88	82	62	61	63	58	50	61	58	53	11	18	29	25	18
ycjU	U00096.3	1380148	1380807	+	660	25	6	14	11	9	4	5	2	5	4	2	6	2	8	3
ompG	U00096.3	1381947	1382852	+	906	32	10	15	6	11	7	2	5	1	1	1	5	2	5	0
ycjW	U00096.3	1382963	1383961	-	999	44	28	30	19	25	36	18	24	27	29	9	17	21	17	7
ycjX	U00096.3	1384117	1385514	+	1398	135	137	122	80	92	134	112	124	138	164	44	40	45	24	65
ycjF	U00096.3	1385511	1386572	+	1062	167	174	153	128	109	118	96	144	129	157	34	39	31	34	52
tyrR	U00096.3	1386720	1388261	+	1542	240	336	239	281	176	285	203	233	236	284	150	124	170	129	119
tpx	U00096.3	1388305	1388811	-	507	238	402	290	336	196	590	380	659	532	849	796	500	1009	333	398
ycjG	U00096.3	1388930	1389895	+	966	378	605	373	590	346	338	208	288	281	261	150	177	133	136	158
mpaA	U00096.3	1389870	1390598	-	729	82	121	99	106	67	102	76	120	111	139	71	62	75	47	68
ymjC	U00096.3	1390680	1390862	-	183	44	39	51	47	27	20	12	16	15	8	9	14	8	16	9
ymjD	U00096.3	1390868	1390933	-	66	18	8	6	10	8	9	1	4	2	1	3	7	3	3	0
ycjY	U00096.3	1390933	1391853	-	921	49	24	26	25	27	19	10	18	14	24	8	15	8	11	8
pgrR	U00096.3	1391991	1392890	+	900	63	57	36	33	30	27	26	42	37	39	22	12	32	24	13
mppA	U00096.3	1393227	1394840	+	1614	151	209	170	174	121	62	56	78	66	101	94	59	58	58	40
ynaI	U00096.3	1394891	1395922	-	1032	48	49	28	28	14	132	110	132	127	154	9	11	22	18	25
insH-4	U00096.3	1396076	1397092	+	1017	887	1738	1035	1401	726	794	632	991	719	880	306	210	312	272	770
ynaJ	U00096.3	1397365	1397622	+	258	228	390	298	401	220	417	246	401	375	660	276	232	234	178	260
uspE	U00096.3	1397672	1398622	-	951	1077	2267	1941	1589	1137	2545	2737	2423	2764	3327	648	671	635	756	1006
fnr	U00096.3	1398774	1399526	-	753	514	1033	706	809	470	1414	989	1336	1192	1718	845	689	1048	652	616
ogt	U00096.3	1399721	1400236	-	516	63	68	49	67	35	63	49	75	60	97	30	23	26	29	16
abgT	U00096.3	1400247	1401773	-	1527	59	46	26	42	23	36	17	27	31	34	15	14	9	18	10
abgB	U00096.3	1401810	1403255	-	1446	70	59	44	44	31	30	21	47	37	27	19	22	26	34	20
abgA	U00096.3	1403255	1404565	-	1311	67	32	33	22	16	16	15	15	13	18	14	12	13	24	6
abgR	U00096.3	1404741	1405649	+	909	156	198	138	156	108	61	49	82	47	84	61	68	52	71	45
mcaS	U00096.3	1405659	1405751	-	93	12	4	14	10	4	15	9	16	10	20	3	6	3	4	5
smrA	U00096.3	1405979	1406542	+	564	63	93	68	87	57	86	78	68	65	64	39	28	40	39	29
dgcM	U00096.3	1406563	1407795	-	1233	84	80	73	58	44	65	54	59	55	40	28	42	46	38	40
zntB	U00096.3	1408050	1409033	+	984	65	76	65	65	37	71	66	91	89	120	29	30	36	33	24
